model,disease,metric,value,ci_lower,ci_upper,is_proposed
XGBoost,COPD,Precision,0.8106,0.8066,0.8237,False
XGBoost,COPD,Recall,0.8525,0.7785,0.8584,False
XGBoost,Atrial Fibrillation,AUROC,0.7874,0.7627,0.8268,False
XGBoost,Atrial Fibrillation,AUPRC,0.7743,0.7675,0.7977,False
XGBoost,Atrial Fibrillation,F1,0.8249,0.8107,0.8318,False
XGBoost,Atrial Fibrillation,Precision,0.7702,0.7571,0.8205,False
XGBoost,Atrial Fibrillation,Recall,0.8056,0.797,0.83,False
XGBoost,Heart Failure,AUROC,0.7987,0.7952,0.8096,False
XGBoost,Heart Failure,AUPRC,0.8175,0.7984,0.8211,False
XGBoost,Heart Failure,F1,0.7906,0.7892,0.81,False
XGBoost,Heart Failure,Precision,0.7686,0.7621,0.7798,False
XGBoost,Heart Failure,Recall,0.7838,0.7289,0.7869,False
XGBoost,Asthma,AUROC,0.846,0.8141,0.8551,False
XGBoost,Asthma,AUPRC,0.8426,0.8365,0.8627,False
XGBoost,Asthma,F1,0.8415,0.841,0.8647,False
XGBoost,Asthma,Precision,0.8561,0.8026,0.8622,False
XGBoost,Asthma,Recall,0.817,0.8123,0.8203,False
Random Forest,Type 2 Diabetes,AUROC,0.8384,0.78,0.8697,False
Random Forest,Type 2 Diabetes,AUPRC,0.7637,0.7418,0.8413,False
Random Forest,Type 2 Diabetes,F1,0.7898,0.7827,0.8314,False
Random Forest,Type 2 Diabetes,Precision,0.809,0.7842,0.847,False
Random Forest,Type 2 Diabetes,Recall,0.8016,0.8,0.8364,False
Random Forest,Coronary Heart Disease,AUROC,0.7967,0.7739,0.7986,False
Random Forest,Coronary Heart Disease,AUPRC,0.7801,0.7741,0.8144,False
Random Forest,Coronary Heart Disease,F1,0.7838,0.7615,0.8176,False
Random Forest,Coronary Heart Disease,Precision,0.7642,0.75,0.7847,False
Random Forest,Coronary Heart Disease,Recall,0.7934,0.7677,0.8283,False
Random Forest,CKD,AUROC,0.7792,0.7479,0.8068,False
Random Forest,CKD,AUPRC,0.7787,0.7481,0.7788,False
Random Forest,CKD,F1,0.7529,0.7254,0.7852,False
Random Forest,CKD,Precision,0.7659,0.7294,0.7695,False
Random Forest,CKD,Recall,0.8003,0.7666,0.8187,False
Random Forest,COPD,AUROC,0.7806,0.7801,0.8063,False
Random Forest,COPD,AUPRC,0.8316,0.7938,0.8393,False
Random Forest,COPD,F1,0.7925,0.7799,0.8056,False
Random Forest,COPD,Precision,0.7774,0.7738,0.7996,False
Random Forest,COPD,Recall,0.8209,0.7942,0.8377,False
Random Forest,Atrial Fibrillation,AUROC,0.7795,0.7651,0.8045,False
Random Forest,Atrial Fibrillation,AUPRC,0.7985,0.7976,0.8517,False
Random Forest,Atrial Fibrillation,F1,0.7763,0.756,0.7858,False
Random Forest,Atrial Fibrillation,Precision,0.7537,0.7363,0.8001,False
Random Forest,Atrial Fibrillation,Recall,0.753,0.7525,0.8109,False
Random Forest,Heart Failure,AUROC,0.8436,0.8136,0.8603,False
Random Forest,Heart Failure,AUPRC,0.7842,0.7746,0.7928,False
Random Forest,Heart Failure,F1,0.7951,0.7933,0.806,False
Random Forest,Heart Failure,Precision,0.7755,0.7732,0.7914,False
Random Forest,Heart Failure,Recall,0.8232,0.7649,0.8359,False
Random Forest,Asthma,AUROC,0.8483,0.8311,0.8521,False
Random Forest,Asthma,AUPRC,0.8556,0.8195,0.8654,False
Random Forest,Asthma,F1,0.8194,0.813,0.8572,False
Random Forest,Asthma,Precision,0.8042,0.8029,0.8452,False
Random Forest,Asthma,Recall,0.8522,0.7947,0.8639,False
Logistic Regression,Type 2 Diabetes,AUROC,0.709,0.7015,0.7569,False
Logistic Regression,Type 2 Diabetes,AUPRC,0.6844,0.6723,0.6974,False
Logistic Regression,Type 2 Diabetes,F1,0.7399,0.714,0.7474,False
Logistic Regression,Type 2 Diabetes,Precision,0.7034,0.6865,0.7149,False
Logistic Regression,Type 2 Diabetes,Recall,0.6768,0.6649,0.6926,False
Logistic Regression,Coronary Heart Disease,AUROC,0.6965,0.6875,0.7107,False
Logistic Regression,Coronary Heart Disease,AUPRC,0.7279,0.7064,0.7307,False
Logistic Regression,Coronary Heart Disease,F1,0.7076,0.7057,0.7179,False
Logistic Regression,Coronary Heart Disease,Precision,0.7515,0.7288,0.7644,False
Logistic Regression,Coronary Heart Disease,Recall,0.7041,0.6909,0.7616,False
Logistic Regression,CKD,AUROC,0.781,0.7617,0.7924,False
Logistic Regression,CKD,AUPRC,0.752,0.6926,0.7806,False
Logistic Regression,CKD,F1,0.706,0.705,0.7276,False
Logistic Regression,CKD,Precision,0.764,0.7578,0.7659,False
Logistic Regression,CKD,Recall,0.7345,0.7251,0.7568,False
Logistic Regression,COPD,AUROC,0.7025,0.7012,0.7169,False
Logistic Regression,COPD,AUPRC,0.7084,0.6948,0.7102,False
Logistic Regression,COPD,F1,0.7045,0.6807,0.7073,False
Logistic Regression,COPD,Precision,0.7122,0.7005,0.7203,False
Logistic Regression,COPD,Recall,0.7007,0.6962,0.701,False
Logistic Regression,Atrial Fibrillation,AUROC,0.7262,0.7094,0.7499,False
Logistic Regression,Atrial Fibrillation,AUPRC,0.6658,0.6565,0.6946,False
Logistic Regression,Atrial Fibrillation,F1,0.6917,0.6861,0.7118,False
Logistic Regression,Atrial Fibrillation,Precision,0.7302,0.7215,0.7501,False
Logistic Regression,Atrial Fibrillation,Recall,0.6984,0.6957,0.7136,False
Logistic Regression,Heart Failure,AUROC,0.7127,0.7087,0.7254,False
Logistic Regression,Heart Failure,AUPRC,0.7233,0.7082,0.7455,False
Logistic Regression,Heart Failure,F1,0.7249,0.6965,0.7437,False
Logistic Regression,Heart Failure,Precision,0.7115,0.7114,0.7242,False
Logistic Regression,Heart Failure,Recall,0.7155,0.6942,0.7206,False
Logistic Regression,Asthma,AUROC,0.718,0.7052,0.7736,False
Logistic Regression,Asthma,AUPRC,0.7617,0.7494,0.7757,False
Logistic Regression,Asthma,F1,0.7618,0.7307,0.8086,False
Logistic Regression,Asthma,Precision,0.7395,0.7253,0.758,False
Logistic Regression,Asthma,Recall,0.7215,0.7186,0.7968,False
LSTM,Type 2 Diabetes,AUROC,0.7203,0.7129,0.7532,False
LSTM,Type 2 Diabetes,AUPRC,0.7166,0.7108,0.7379,False
LSTM,Type 2 Diabetes,F1,0.6851,0.6748,0.7368,False
LSTM,Type 2 Diabetes,Precision,0.7389,0.6912,0.7461,False
LSTM,Type 2 Diabetes,Recall,0.7166,0.6769,0.7189,False
LSTM,Coronary Heart Disease,AUROC,0.6962,0.6833,0.6971,False
LSTM,Coronary Heart Disease,AUPRC,0.6924,0.6768,0.6995,False
LSTM,Coronary Heart Disease,F1,0.7034,0.6955,0.7465,False
LSTM,Coronary Heart Disease,Precision,0.6927,0.6831,0.7292,False
LSTM,Coronary Heart Disease,Recall,0.7378,0.696,0.743,False
LSTM,CKD,AUROC,0.6997,0.6761,0.7222,False
LSTM,CKD,AUPRC,0.6976,0.6913,0.7249,False
LSTM,CKD,F1,0.6863,0.6768,0.707,False
LSTM,CKD,Precision,0.692,0.6838,0.7338,False
LSTM,CKD,Recall,0.7459,0.7398,0.7661,False
LSTM,COPD,AUROC,0.679,0.6591,0.7082,False
LSTM,COPD,AUPRC,0.6633,0.6599,0.6897,False
LSTM,COPD,F1,0.6581,0.6431,0.6784,False
LSTM,COPD,Precision,0.6774,0.6592,0.6954,False
LSTM,COPD,Recall,0.7029,0.6524,0.7122,False
LSTM,Atrial Fibrillation,AUROC,0.7447,0.744,0.7736,False
LSTM,Atrial Fibrillation,AUPRC,0.7228,0.7091,0.741,False
LSTM,Atrial Fibrillation,F1,0.7137,0.7058,0.7179,False
LSTM,Atrial Fibrillation,Precision,0.7472,0.7394,0.7531,False
LSTM,Atrial Fibrillation,Recall,0.7278,0.7074,0.7371,False
LSTM,Heart Failure,AUROC,0.7298,0.7246,0.7669,False
LSTM,Heart Failure,AUPRC,0.7468,0.7318,0.7541,False
LSTM,Heart Failure,F1,0.7167,0.7084,0.7289,False
LSTM,Heart Failure,Precision,0.7407,0.7394,0.7953,False
LSTM,Heart Failure,Recall,0.7198,0.6981,0.7367,False
LSTM,Asthma,AUROC,0.7674,0.7408,0.7736,False
LSTM,Asthma,AUPRC,0.7175,0.6925,0.7241,False
LSTM,Asthma,F1,0.7295,0.7121,0.7614,False
LSTM,Asthma,Precision,0.7487,0.7175,0.7791,False
LSTM,Asthma,Recall,0.7478,0.688,0.7485,False
GRU,Type 2 Diabetes,AUROC,0.7027,0.7006,0.7179,False
GRU,Type 2 Diabetes,AUPRC,0.7062,0.6919,0.7135,False
GRU,Type 2 Diabetes,F1,0.6604,0.6236,0.6795,False
GRU,Type 2 Diabetes,Precision,0.6996,0.6645,0.7178,False
GRU,Type 2 Diabetes,Recall,0.6916,0.685,0.6919,False
GRU,Coronary Heart Disease,AUROC,0.7052,0.6912,0.7217,False
GRU,Coronary Heart Disease,AUPRC,0.742,0.7306,0.7578,False
GRU,Coronary Heart Disease,F1,0.7164,0.6761,0.7529,False
GRU,Coronary Heart Disease,Precision,0.7489,0.7284,0.7716,False
GRU,Coronary Heart Disease,Recall,0.7561,0.7499,0.7672,False
GRU,CKD,AUROC,0.7132,0.7043,0.7646,False
GRU,CKD,AUPRC,0.7284,0.7133,0.7458,False
GRU,CKD,F1,0.714,0.7025,0.7812,False
GRU,CKD,Precision,0.7078,0.7033,0.7176,False
GRU,CKD,Recall,0.6888,0.674,0.7119,False
GRU,COPD,AUROC,0.6384,0.6182,0.6741,False
GRU,COPD,AUPRC,0.6984,0.6589,0.6985,False
GRU,COPD,F1,0.641,0.6214,0.7005,False
GRU,COPD,Precision,0.6831,0.6824,0.7075,False
GRU,COPD,Recall,0.6967,0.6611,0.7201,False
GRU,Atrial Fibrillation,AUROC,0.7285,0.685,0.7545,False
GRU,Atrial Fibrillation,AUPRC,0.7097,0.7075,0.7254,False
GRU,Atrial Fibrillation,F1,0.7157,0.6864,0.732,False
GRU,Atrial Fibrillation,Precision,0.712,0.6649,0.729,False
GRU,Atrial Fibrillation,Recall,0.6992,0.6867,0.753,False
GRU,Heart Failure,AUROC,0.6951,0.6842,0.7095,False
GRU,Heart Failure,AUPRC,0.7125,0.6948,0.7316,False
GRU,Heart Failure,F1,0.6824,0.6814,0.6951,False
GRU,Heart Failure,Precision,0.6898,0.6502,0.7036,False
GRU,Heart Failure,Recall,0.7104,0.6848,0.7388,False
GRU,Asthma,AUROC,0.6878,0.657,0.7219,False
GRU,Asthma,AUPRC,0.7308,0.7261,0.7385,False
GRU,Asthma,F1,0.7266,0.704,0.7324,False
GRU,Asthma,Precision,0.7346,0.6867,0.7385,False
GRU,Asthma,Recall,0.7111,0.6981,0.7409,False
Transformer,Type 2 Diabetes,AUROC,0.7523,0.7475,0.7534,False
Transformer,Type 2 Diabetes,AUPRC,0.7842,0.7662,0.7973,False
Transformer,Type 2 Diabetes,F1,0.7766,0.7527,0.7787,False
Transformer,Type 2 Diabetes,Precision,0.8004,0.7622,0.8109,False
Transformer,Type 2 Diabetes,Recall,0.784,0.7451,0.7861,False
Transformer,Coronary Heart Disease,AUROC,0.7783,0.7477,0.7857,False
Transformer,Coronary Heart Disease,AUPRC,0.7525,0.7221,0.7696,False
Transformer,Coronary Heart Disease,F1,0.7686,0.7181,0.7776,False
Transformer,Coronary Heart Disease,Precision,0.748,0.7446,0.8154,False
Transformer,Coronary Heart Disease,Recall,0.8156,0.771,0.8202,False
Transformer,CKD,AUROC,0.7422,0.739,0.7444,False
Transformer,CKD,AUPRC,0.7097,0.6836,0.7282,False
Transformer,CKD,F1,0.7026,0.6816,0.7123,False
Transformer,CKD,Precision,0.7116,0.69,0.7297,False
Transformer,CKD,Recall,0.7351,0.6397,0.7393,False
Transformer,COPD,AUROC,0.7564,0.7248,0.7571,False
Transformer,COPD,AUPRC,0.7318,0.6948,0.754,False
Transformer,COPD,F1,0.7591,0.7182,0.7615,False
Transformer,COPD,Precision,0.7908,0.7662,0.7947,False
Transformer,COPD,Recall,0.7315,0.7133,0.7614,False
Transformer,Atrial Fibrillation,AUROC,0.7531,0.7311,0.7558,False
Transformer,Atrial Fibrillation,AUPRC,0.7278,0.7045,0.7409,False
Transformer,Atrial Fibrillation,F1,0.7457,0.7328,0.7669,False
Transformer,Atrial Fibrillation,Precision,0.7559,0.7397,0.7822,False
Transformer,Atrial Fibrillation,Recall,0.7392,0.7217,0.7581,False
Transformer,Heart Failure,AUROC,0.7369,0.7281,0.7491,False
Transformer,Heart Failure,AUPRC,0.7177,0.7166,0.757,False
Transformer,Heart Failure,F1,0.7285,0.7203,0.7623,False
Transformer,Heart Failure,Precision,0.7503,0.7183,0.7824,False
Transformer,Heart Failure,Recall,0.7677,0.7615,0.7853,False
Transformer,Asthma,AUROC,0.7625,0.7533,0.773,False
Transformer,Asthma,AUPRC,0.7561,0.7537,0.8125,False
Transformer,Asthma,F1,0.7696,0.7405,0.7821,False
Transformer,Asthma,Precision,0.7781,0.7529,0.7841,False
Transformer,Asthma,Recall,0.7522,0.7336,0.7581,False
RETAIN,Type 2 Diabetes,AUROC,0.7622,0.761,0.7758,False
RETAIN,Type 2 Diabetes,AUPRC,0.7318,0.7156,0.7465,False
RETAIN,Type 2 Diabetes,F1,0.7594,0.7455,0.7699,False
RETAIN,Type 2 Diabetes,Precision,0.7508,0.7473,0.7561,False
RETAIN,Type 2 Diabetes,Recall,0.7346,0.724,0.7497,False
RETAIN,Coronary Heart Disease,AUROC,0.7196,0.7,0.7428,False
RETAIN,Coronary Heart Disease,AUPRC,0.7109,0.6984,0.7517,False
RETAIN,Coronary Heart Disease,F1,0.7182,0.7071,0.7373,False
RETAIN,Coronary Heart Disease,Precision,0.7451,0.721,0.7506,False
RETAIN,Coronary Heart Disease,Recall,0.7114,0.7063,0.7493,False
RETAIN,CKD,AUROC,0.7387,0.738,0.7858,False
RETAIN,CKD,AUPRC,0.7813,0.7566,0.8554,False
RETAIN,CKD,F1,0.7464,0.7292,0.7662,False
RETAIN,CKD,Precision,0.7319,0.7316,0.772,False
RETAIN,CKD,Recall,0.7602,0.74,0.7698,False
RETAIN,COPD,AUROC,0.7447,0.7323,0.7461,False
RETAIN,COPD,AUPRC,0.7415,0.7064,0.7416,False
RETAIN,COPD,F1,0.7079,0.6967,0.7169,False
RETAIN,COPD,Precision,0.7134,0.6944,0.7216,False
RETAIN,COPD,Recall,0.7069,0.6665,0.7211,False
RETAIN,Atrial Fibrillation,AUROC,0.7641,0.7064,0.7836,False
RETAIN,Atrial Fibrillation,AUPRC,0.6798,0.6795,0.7074,False
RETAIN,Atrial Fibrillation,F1,0.7598,0.7445,0.7918,False
RETAIN,Atrial Fibrillation,Precision,0.7799,0.7785,0.7937,False
RETAIN,Atrial Fibrillation,Recall,0.7264,0.7223,0.7635,False
RETAIN,Heart Failure,AUROC,0.7513,0.7164,0.7687,False
RETAIN,Heart Failure,AUPRC,0.7517,0.7415,0.7883,False
RETAIN,Heart Failure,F1,0.7388,0.7281,0.7395,False
RETAIN,Heart Failure,Precision,0.7621,0.756,0.7806,False
RETAIN,Heart Failure,Recall,0.7654,0.7248,0.7828,False
RETAIN,Asthma,AUROC,0.679,0.6654,0.732,False
RETAIN,Asthma,AUPRC,0.7156,0.7031,0.7572,False
RETAIN,Asthma,F1,0.7479,0.71,0.7648,False
RETAIN,Asthma,Precision,0.7051,0.6858,0.7303,False
RETAIN,Asthma,Recall,0.7304,0.6962,0.7322,False
Med-BERT,Type 2 Diabetes,AUROC,0.6813,0.6516,0.6844,False
Med-BERT,Type 2 Diabetes,AUPRC,0.6918,0.6715,0.722,False
Med-BERT,Type 2 Diabetes,F1,0.6929,0.683,0.7053,False
Med-BERT,Type 2 Diabetes,Precision,0.7154,0.6933,0.7263,False
Med-BERT,Type 2 Diabetes,Recall,0.6785,0.6441,0.6848,False
Med-BERT,Coronary Heart Disease,AUROC,0.7099,0.6843,0.7117,False
Med-BERT,Coronary Heart Disease,AUPRC,0.7448,0.7019,0.7585,False
Med-BERT,Coronary Heart Disease,F1,0.7497,0.7282,0.7877,False
Med-BERT,Coronary Heart Disease,Precision,0.7579,0.7342,0.7722,False
Med-BERT,Coronary Heart Disease,Recall,0.7237,0.7069,0.7305,False
Med-BERT,CKD,AUROC,0.7024,0.6991,0.7245,False
Med-BERT,CKD,AUPRC,0.705,0.6882,0.7098,False
Med-BERT,CKD,F1,0.68,0.6371,0.7068,False
Med-BERT,CKD,Precision,0.6867,0.6732,0.6886,False
Med-BERT,CKD,Recall,0.7167,0.701,0.7283,False
Med-BERT,COPD,AUROC,0.7334,0.6887,0.7633,False
Med-BERT,COPD,AUPRC,0.6914,0.6608,0.7199,False
Med-BERT,COPD,F1,0.6936,0.6718,0.714,False
Med-BERT,COPD,Precision,0.7126,0.6981,0.7255,False
Med-BERT,COPD,Recall,0.6958,0.6685,0.7049,False
Med-BERT,Atrial Fibrillation,AUROC,0.7254,0.7193,0.7418,False
Med-BERT,Atrial Fibrillation,AUPRC,0.7235,0.6603,0.7576,False
Med-BERT,Atrial Fibrillation,F1,0.6548,0.6487,0.6961,False
Med-BERT,Atrial Fibrillation,Precision,0.6878,0.6817,0.7278,False
Med-BERT,Atrial Fibrillation,Recall,0.7142,0.6905,0.7187,False
Med-BERT,Heart Failure,AUROC,0.6992,0.6713,0.7193,False
Med-BERT,Heart Failure,AUPRC,0.6826,0.6714,0.7097,False
Med-BERT,Heart Failure,F1,0.7216,0.6571,0.7217,False
Med-BERT,Heart Failure,Precision,0.7041,0.6768,0.7187,False
Med-BERT,Heart Failure,Recall,0.6774,0.6681,0.6959,False
Med-BERT,Asthma,AUROC,0.7166,0.7076,0.7353,False
Med-BERT,Asthma,AUPRC,0.7696,0.7178,0.7947,False
Med-BERT,Asthma,F1,0.7621,0.7567,0.7741,False
Med-BERT,Asthma,Precision,0.7225,0.6805,0.7255,False
Med-BERT,Asthma,Recall,0.7364,0.7316,0.7381,False
DeepPatient,Type 2 Diabetes,AUROC,0.7531,0.7405,0.7759,False
DeepPatient,Type 2 Diabetes,AUPRC,0.7441,0.742,0.7802,False
DeepPatient,Type 2 Diabetes,F1,0.7556,0.7396,0.7565,False
DeepPatient,Type 2 Diabetes,Precision,0.7598,0.7014,0.7841,False
DeepPatient,Type 2 Diabetes,Recall,0.8217,0.8212,0.8268,False
DeepPatient,Coronary Heart Disease,AUROC,0.7714,0.765,0.7962,False
DeepPatient,Coronary Heart Disease,AUPRC,0.7723,0.7708,0.8083,False
DeepPatient,Coronary Heart Disease,F1,0.7917,0.7723,0.8045,False
DeepPatient,Coronary Heart Disease,Precision,0.7749,0.7609,0.777,False
DeepPatient,Coronary Heart Disease,Recall,0.7481,0.7366,0.7789,False
DeepPatient,CKD,AUROC,0.8284,0.8064,0.8333,False
DeepPatient,CKD,AUPRC,0.8295,0.7884,0.8348,False
DeepPatient,CKD,F1,0.8128,0.7881,0.8457,False
DeepPatient,CKD,Precision,0.7975,0.7921,0.8204,False
DeepPatient,CKD,Recall,0.8064,0.7876,0.8122,False
DeepPatient,COPD,AUROC,0.748,0.7242,0.7589,False
DeepPatient,COPD,AUPRC,0.7682,0.7538,0.7862,False
DeepPatient,COPD,F1,0.7801,0.76,0.8076,False
DeepPatient,COPD,Precision,0.7875,0.7601,0.7999,False
DeepPatient,COPD,Recall,0.7602,0.7432,0.7615,False
DeepPatient,Atrial Fibrillation,AUROC,0.7299,0.7136,0.7668,False
DeepPatient,Atrial Fibrillation,AUPRC,0.7609,0.7559,0.7734,False
DeepPatient,Atrial Fibrillation,F1,0.7528,0.7451,0.7591,False
DeepPatient,Atrial Fibrillation,Precision,0.7727,0.7565,0.806,False
DeepPatient,Atrial Fibrillation,Recall,0.7538,0.7212,0.7609,False
DeepPatient,Heart Failure,AUROC,0.8107,0.7694,0.8182,False
DeepPatient,Heart Failure,AUPRC,0.8089,0.7796,0.8393,False
DeepPatient,Heart Failure,F1,0.815,0.7952,0.8287,False
DeepPatient,Heart Failure,Precision,0.8311,0.811,0.8602,False
DeepPatient,Heart Failure,Recall,0.8349,0.7785,0.8543,False
DeepPatient,Asthma,AUROC,0.853,0.8456,0.8646,False
DeepPatient,Asthma,AUPRC,0.8673,0.843,0.8712,False
DeepPatient,Asthma,F1,0.8744,0.8407,0.8931,False
DeepPatient,Asthma,Precision,0.8911,0.8727,0.9232,False
DeepPatient,Asthma,Recall,0.8888,0.8858,0.8989,False
